variant,method,fusion_ratio_lambda,batch_size,seed,selected_epoch,validation_macro_top1,test_macro_top1,test_overall_top1,test_top5,checkpoint_sha256
vanilla,vanilla,,128,1,208,31.081080436706543,20.995761454105377,20.986644862360315,50.55873535023167,8e180a0fc04ec6e2809a58a6115cba9418a74b53acc7eccf067bf4c614281206
vanilla,vanilla,,128,2,206,32.43243396282196,20.52971124649048,20.550558735350233,50.94031071136549,f9a4a7a47130d9da5c4b633c5883adff26c290ae315ed7c6de9debedc040b956
vanilla,vanilla,,128,3,233,32.83783793449402,21.8288391828537,21.831561733442356,52.19405832651949,51aae87e0682d811a8bb3b0fb6c6e9c33ebc31c14e09c6d24489b09ccadcb0b2
kd,kd,,128,1,222,39.054057002067566,28.823810815811157,28.808939765603707,63.450531479967296,c4eea7b489490a93b6d7633e7623e53e1d31babc93fa9894b7c31b60f0b5d95b
kd,kd,,128,2,269,37.837839126586914,30.70541024208069,30.689561188334697,65.60370673207959,a8fdc66de0da65dd2a7288062c16d9a53287430d58fe62f001af0932ef51298e
kd,kd,,128,3,251,39.59459364414215,30.704551935195923,30.689561188334697,65.1676206050695,5a0b494a6a931fad14aa1ceb98e1acb0e57ecf37d32085e042f5e24711f32abc
lg,lg,,128,1,284,41.62162244319916,34.55737233161926,34.5598255655492,70.01907876805669,eee9e7ffe68e44e5de7a864d0d0f1fab692f8b5a0d3a94b9b8b14f4bb3a67e01
lg,lg,,128,2,271,41.48648381233215,33.215150237083435,33.19705641864268,68.79258653584083,cab42c599a8e8f227cb2762b23c7a9d66a5764026020970095becaa9aea76056
lg,lg,,128,3,238,39.86486494541168,31.207358837127686,31.2346688470973,66.25783592259471,3e7b365a5ce6e3df1c1355f443990a1e02aa3f86717314073aafd1ceb149b099
alg,alg,,128,1,298,31.621617078781128,22.892214357852936,22.894521668029437,55.137639683837556,9554668328a551925b8ae77467bbd29dd477d6333c48b1414d6ced1ee5bd5fa6
alg,alg,,128,2,256,34.1891884803772,23.131462931632996,23.112564731534476,56.44589806486781,866457a96d67fdc2949f600a1d7f1c6664b77338ac8a96bd2d2e4224286544f4
alg,alg,,128,3,287,33.24324190616608,22.61623740196228,22.621967838648132,53.33878440992096,62b065ca91b86eafac030527a751b41b9ed985d37099d2aee3dcba04fdd6a1f9
ibkd_lambda0.25,ibkd,0.25,128,1,269,36.4864856004715,27.166110277175903,27.14636140637776,62.632869991823384,0e6149fff5f69811ed87fabb5a369d8199a1c12bb599778486cc5dc1a3b59eac
ibkd_lambda0.25,ibkd,0.25,128,2,271,33.10810923576355,26.3913631439209,26.41046606704824,60.91578086672118,7995f88f1897da11af168d0d4b25dfe1b4461976a5c3cf52ecd6b7423ee089e8
ibkd_lambda0.25,ibkd,0.25,128,3,256,34.594595432281494,26.591795682907104,26.573998364677024,62.4693376941946,92c85d0fbae2f0256ac53f852313534a58de8c93f88d5444a2183262951abc38
ibkd_lambda0.5,ibkd,0.5,128,1,257,35.540542006492615,26.282265782356262,26.27418915235759,61.54265467429818,500ba3fc876f3ea4ce4018903f0131427d1d7250fc8ecae9e34c109e1b2bacfb
ibkd_lambda0.5,ibkd,0.5,128,2,247,33.243244886398315,24.001729488372803,24.011992368492777,59.11692559280458,3be8eaf3820d1a3acc263146a965ac4800b72f8347937526fea4a0e5005cd875
ibkd_lambda0.5,ibkd,0.5,128,3,276,32.027024030685425,24.40396398305893,24.3935677296266,58.76260561460889,7f126477601ac818a0b4581e9df87470fc6514c84cade3889b7434a32a5a47da
