variant,encoder_seed,probe_seed_1,probe_seed_2,probe_seed_3,probe_seed_4,probe_seed_5,probe_seed_mean,probe_seed_sample_standard_deviation
vanilla,1,0.5887175741273927,0.5909878656687906,0.5904725606840754,0.5916467702904904,0.5908656292060286,0.5905380799953556,0.0011019669009779767
vanilla,2,0.6077682052511281,0.6093371839867485,0.6076143644876532,0.6110631978650864,0.6069684051968264,0.6085502713574885,0.0016525647288871943
vanilla,3,0.6053004895153303,0.6052388829709322,0.6052724353481992,0.6087976505384108,0.6081065042578266,0.6065431925261399,0.0017597501593756956
kd,1,0.7205247722218773,0.7204612460066808,0.721306166052046,0.7203673893266119,0.7189793390172088,0.7203277825248849,0.0008416828916004162
kd,2,0.7341913755241923,0.7340015248400248,0.7343195633857678,0.7344272405721342,0.7337425330249423,0.7341364474694123,0.0002713309160868742
kd,3,0.7207161135241111,0.7211190056225225,0.7208332636419507,0.7224431562611981,0.7219624201420156,0.7214147918383597,0.0007535326901707983
lg,1,0.8384520093160283,0.8390992614068757,0.8393744675155457,0.8398916107180769,0.8385945185665422,0.8390823735046138,0.0005864789917317182
lg,2,0.8377999688006282,0.8371080403980953,0.8386213376510623,0.8381512713509228,0.8380736061844205,0.8379508448770259,0.0005563013235202803
lg,3,0.8390141672446598,0.8377557730540395,0.8385371689241186,0.8392256900434748,0.8379116651254812,0.8384888928783548,0.0006503403636774037
alg,1,0.8085223332201732,0.809792586942092,0.808994464453799,0.8085817116640782,0.8093774809655975,0.809053715449148,0.0005383819553921196
alg,2,0.8296661689921963,0.8286319538971654,0.8294420811073073,0.8295686383862559,0.830079431271808,0.8294776547309466,0.0005297230503565561
alg,3,0.8248261059145952,0.8244477905079111,0.8240923882465357,0.8237453081663946,0.8238571769549226,0.8241937539580718,0.0004441470139971392
ibkd_lambda_0.25,1,0.8053613835188108,0.8057194283225798,0.8059098353487182,0.8054123201372645,0.8061387483376228,0.8057083431329992,0.00032938625596401
ibkd_lambda_0.25,2,0.7996844300790584,0.7996757364174558,0.7999483669130734,0.8012867989129993,0.798960648388877,0.7999111961422928,0.0008520665774976991
ibkd_lambda_0.25,3,0.8028544428270499,0.8018212152584852,0.8036726309440163,0.8035873652298853,0.8042624586944678,0.8032396225907809,0.0009373976854471221
ibkd_lambda_0.5,1,0.7829706010950082,0.7822940946341941,0.7824867482023414,0.7831520864516418,0.7832169146400525,0.7828240890046476,0.00041171985235739734
ibkd_lambda_0.5,2,0.7956604237221769,0.794773316877843,0.7939665008141243,0.7956573709742083,0.7941321542782791,0.7948379533333263,0.0008077224896941916
ibkd_lambda_0.5,3,0.8139860449623806,0.8143747110965104,0.8141608495580268,0.8144207695556576,0.8147369720248685,0.8143358694394888,0.0002839934469908315
