fusion_ratio_lambda,encoder_seed,teacher_stage,teacher_feature,block_0_probability,block_1_probability,block_2_probability,block_3_probability,block_4_probability,block_5_probability,block_6_probability,block_7_probability,block_8_probability,block_9_probability,block_10_probability,block_11_probability,top_block,top_probability,minimum_probability,normalized_entropy,l1_distance_from_uniform,expected_block_index,early_block_mass_0_3,middle_block_mass_4_7,late_block_mass_8_11
0.25,1,0,layer2,0.08883584290742874,0.08824116736650467,0.08835652470588684,0.08571982383728027,0.08127689361572266,0.08012650161981583,0.08497731387615204,0.0822572261095047,0.08363804966211319,0.0827651172876358,0.07931987941265106,0.07448571920394897,0,0.08883584290742874,0.07448571920394897,0.9995167255401611,0.03953738510608673,5.360050201416016,0.3511533737182617,0.3286379277706146,0.3202087879180908
0.25,1,1,layer3,0.07463669031858444,0.0718792974948883,0.07096220552921295,0.07010456174612045,0.06975222378969193,0.07236383855342865,0.08029850572347641,0.08564375340938568,0.09543067216873169,0.10311348736286163,0.10361506044864655,0.10219971090555191,10,0.10361506044864655,0.06975222378969193,0.9948934316635132,0.14667204022407532,5.998056888580322,0.28758275508880615,0.30805832147598267,0.4043589234352112
0.25,1,2,layer4,0.08841075003147125,0.08359943330287933,0.08386076241731644,0.08316171914339066,0.08077295869588852,0.07960132509469986,0.07576332241296768,0.07718192785978317,0.08042016625404358,0.08516672253608704,0.08911940455436707,0.09294149279594421,11,0.09294149279594421,0.07576332241296768,0.9993287324905396,0.04619714617729187,5.540170192718506,0.3390326499938965,0.31331953406333923,0.3476477861404419
0.5,1,0,layer2,0.0857911929488182,0.08618251979351044,0.08670809119939804,0.08613795787096024,0.08538571000099182,0.0826934278011322,0.08041297644376755,0.08192559331655502,0.08216000348329544,0.08160547912120819,0.08150734752416611,0.07948966324329376,2,0.08670809119939804,0.07948966324329376,0.9998285174369812,0.027077652513980865,5.410168647766113,0.3448197543621063,0.3304177224636078,0.3247625231742859
0.5,1,1,layer3,0.08048065751791,0.0808011144399643,0.08146098256111145,0.08141292631626129,0.08149213343858719,0.08055397868156433,0.08246009051799774,0.08635234087705612,0.08553488552570343,0.08589139580726624,0.08652180433273315,0.08703773468732834,11,0.08703773468732834,0.08048065751791,0.999812126159668,0.029342949390411377,5.595861911773682,0.32415568828582764,0.3308585286140442,0.34498584270477295
0.5,1,2,layer4,0.08850374817848206,0.0878874883055687,0.08716073632240295,0.08624625205993652,0.08509881794452667,0.08473466336727142,0.08287971466779709,0.07839526236057281,0.07893738150596619,0.08002399653196335,0.08037690818309784,0.07975509017705917,0,0.08850374817848206,0.07839526236057281,0.999632716178894,0.03926335275173187,5.363851547241211,0.3497982323169708,0.3311084508895874,0.31909337639808655
0.25,2,0,layer2,0.0796283408999443,0.08143442869186401,0.0804864913225174,0.07599706202745438,0.07230067998170853,0.07347098737955093,0.0782901868224144,0.08192582428455353,0.09462729841470718,0.0961129441857338,0.09516853839159012,0.09055718779563904,9,0.0961129441857338,0.07230067998170853,0.9980674386024475,0.08626531064510345,5.74002742767334,0.3175463378429413,0.3059876561164856,0.37646597623825073
0.25,2,1,layer3,0.07118409126996994,0.07093275338411331,0.07002926617860794,0.06572792679071426,0.06347011774778366,0.07036305218935013,0.07994856685400009,0.08637510240077972,0.09529277682304382,0.10536312311887741,0.1095828041434288,0.11173044145107269,11,0.11173044145107269,0.06347011774778366,0.9917760491371155,0.1833551526069641,6.133661270141602,0.27787402272224426,0.300156831741333,0.4219691753387451
0.25,2,2,layer4,0.08688435703516006,0.0852254182100296,0.08475350588560104,0.08556146919727325,0.08587494492530823,0.08562839031219482,0.08357561379671097,0.08159393817186356,0.08005981147289276,0.0794348195195198,0.08084699511528015,0.08056072145700455,0,0.08688435703516006,0.0794348195195198,0.9998117685317993,0.028340741991996765,5.405699729919434,0.34242475032806396,0.3366728723049164,0.32090234756469727
0.5,2,0,layer2,0.092463418841362,0.094172902405262,0.09232497960329056,0.08904467523097992,0.08548296988010406,0.08251731842756271,0.08075948059558868,0.08112914115190506,0.07653416693210602,0.07635270059108734,0.07561468333005905,0.0736035406589508,1,0.094172902405262,0.0736035406589508,0.9986048340797424,0.07364458590745926,5.218169689178467,0.36800599098205566,0.3298889100551605,0.3021050989627838
