variant,encoder_seed,patch_average_precision,pointing_game,foreground_attention_mass
lg,1,0.21840971499311718,0.5246807336807251,0.17509138584136963
lg,2,0.16368576433989848,0.2913358509540558,0.1605917066335678
lg,3,0.29849302427810703,0.5124266743659973,0.23276740312576294
alg_warmup20,1,0.2643180126531196,0.5177770256996155,0.1885259747505188
alg_warmup20,2,0.23003616619429423,0.4822230041027069,0.18127986788749695
alg_warmup20,3,0.2428713281829583,0.4456334114074707,0.19974127411842346
ibkd_lambda_0.25,1,0.27647670791883805,0.49430444836616516,0.1999073475599289
ibkd_lambda_0.25,2,0.3385000151404855,0.5602347254753113,0.21211548149585724
ibkd_lambda_0.25,3,0.22967426512521744,0.5039696097373962,0.21576513350009918
ibkd_lambda_0.5,1,0.2126733902371026,0.4767000377178192,0.2206277847290039
ibkd_lambda_0.5,2,0.2571810681730958,0.5031066536903381,0.1956922560930252
ibkd_lambda_0.5,3,0.2526640810944128,0.5070762634277344,0.2013779878616333
