variant,encoder_seed,probe_seed,learning_rate,best_epoch,validation_micro_pck_at_0.1,validation_mean_normalized_error,selected,scientific_result
lg,2,1,0.01,7,0.2929927414852038,0.22683992981910706,False,True
lg,2,1,0.03,43,0.2946677833612507,0.2256515920162201,False,True
lg,2,1,0.1,21,0.29690117252931325,0.22573737800121307,True,True
lg,2,2,0.01,41,0.29383026242322724,0.22451642155647278,False,True
lg,2,2,0.03,25,0.29396984924623115,0.22550031542778015,False,True
lg,2,2,0.1,12,0.2991345616973758,0.22699454426765442,True,True
lg,2,3,0.01,18,0.292713567839196,0.2247767299413681,False,True
lg,2,3,0.03,18,0.29508654383026245,0.2244064062833786,False,True
lg,2,3,0.1,73,0.29550530429927413,0.22414255142211914,True,True
lg,2,4,0.01,52,0.29229480737018426,0.22370857000350952,False,True
lg,2,4,0.03,48,0.29410943606923506,0.22605624794960022,False,True
lg,2,4,0.1,22,0.2964824120603015,0.22615766525268555,True,True
lg,2,5,0.01,23,0.2928531546621999,0.22378413379192352,False,True
lg,2,5,0.03,26,0.2953657174762702,0.22480826079845428,False,True
lg,2,5,0.1,52,0.29731993299832493,0.22629393637180328,True,True
alg_warmup20,2,1,0.01,55,0.23911222780569513,0.25329113006591797,False,True
alg_warmup20,2,1,0.03,43,0.24246231155778894,0.25220781564712524,False,True
alg_warmup20,2,1,0.1,22,0.24553322166387492,0.2537970542907715,True,True
alg_warmup20,2,2,0.01,30,0.2403685092127303,0.25246351957321167,False,True
alg_warmup20,2,2,0.03,31,0.2416247906197655,0.25426608324050903,False,True
alg_warmup20,2,2,0.1,56,0.2434394193188163,0.25345757603645325,True,True
alg_warmup20,2,3,0.01,23,0.23939140145170296,0.25379422307014465,False,True
alg_warmup20,2,3,0.03,40,0.24218313791178112,0.25230205059051514,True,True
alg_warmup20,2,3,0.1,39,0.24218313791178112,0.2524401843547821,False,True
alg_warmup20,2,4,0.01,43,0.23967057509771078,0.2531810700893402,False,True
alg_warmup20,2,4,0.03,5,0.2417643774427694,0.2523403763771057,False,True
alg_warmup20,2,4,0.1,6,0.24525404801786713,0.2530471086502075,True,True
alg_warmup20,2,5,0.01,21,0.23911222780569513,0.2538718581199646,False,True
alg_warmup20,2,5,0.03,36,0.24204355108877723,0.25170961022377014,False,True
alg_warmup20,2,5,0.1,50,0.24274148520379676,0.2533204257488251,True,True
ibkd_lambda_0.25,2,1,0.01,82,0.18774427694025683,0.3010631501674652,False,True
ibkd_lambda_0.25,2,1,0.03,23,0.18732551647124512,0.29975324869155884,False,True
ibkd_lambda_0.25,2,1,0.1,9,0.18955890563930766,0.2983332872390747,True,True
ibkd_lambda_0.25,2,2,0.01,42,0.18732551647124512,0.2996867299079895,False,True
ibkd_lambda_0.25,2,2,0.03,45,0.1870463428252373,0.29954758286476135,False,True
ibkd_lambda_0.25,2,2,0.1,45,0.1887213847012842,0.2974752187728882,True,True
ibkd_lambda_0.25,2,3,0.01,49,0.189000558347292,0.2997042238712311,True,True
ibkd_lambda_0.25,2,3,0.03,31,0.189000558347292,0.30074119567871094,False,True
ibkd_lambda_0.25,2,3,0.1,28,0.18760469011725292,0.3007097542285919,False,True
ibkd_lambda_0.25,2,4,0.01,44,0.18774427694025683,0.3016442060470581,False,True
ibkd_lambda_0.25,2,4,0.03,80,0.18788386376326074,0.30005285143852234,True,True
ibkd_lambda_0.25,2,4,0.1,59,0.18676716917922948,0.2999383807182312,False,True
ibkd_lambda_0.25,2,5,0.01,63,0.18676716917922948,0.3013756573200226,False,True
ibkd_lambda_0.25,2,5,0.03,65,0.18830262423227248,0.29930242896080017,False,True
ibkd_lambda_0.25,2,5,0.1,16,0.18955890563930766,0.3000510036945343,True,True
ibkd_lambda_0.5,2,1,0.01,54,0.1689000558347292,0.3036814033985138,False,True
ibkd_lambda_0.5,2,1,0.03,63,0.17183137911781127,0.30141791701316833,False,True
ibkd_lambda_0.5,2,1,0.1,11,0.17252931323283083,0.30010339617729187,True,True
ibkd_lambda_0.5,2,2,0.01,31,0.17141261864879956,0.3081617057323456,False,True
ibkd_lambda_0.5,2,2,0.03,11,0.17280848687883862,0.30742859840393066,False,True
ibkd_lambda_0.5,2,2,0.1,35,0.17308766052484645,0.3066825270652771,True,True
ibkd_lambda_0.5,2,3,0.01,23,0.16806253489670575,0.3079100549221039,False,True
ibkd_lambda_0.5,2,3,0.03,28,0.17113344500279173,0.3037213981151581,False,True
ibkd_lambda_0.5,2,3,0.1,13,0.17127303182579565,0.30222320556640625,True,True
ibkd_lambda_0.5,2,4,0.01,52,0.16973757677275264,0.30319884419441223,False,True
ibkd_lambda_0.5,2,4,0.03,25,0.17169179229480738,0.3061707317829132,False,True
ibkd_lambda_0.5,2,4,0.1,49,0.17238972640982692,0.2999790906906128,True,True
ibkd_lambda_0.5,2,5,0.01,65,0.16959798994974876,0.3038465678691864,False,True
ibkd_lambda_0.5,2,5,0.03,15,0.17183137911781127,0.30543240904808044,False,True
ibkd_lambda_0.5,2,5,0.1,52,0.17420435510887772,0.3004140257835388,True,True
lg,3,1,0.01,39,0.2573981016192071,0.24222725629806519,False,True
lg,3,1,0.03,37,0.2600502512562814,0.2430129498243332,False,True
lg,3,1,0.1,83,0.2613065326633166,0.24058771133422852,True,True
lg,3,2,0.01,17,0.2580960357342267,0.24204576015472412,False,True
lg,3,2,0.03,13,0.25781686208821886,0.24182958900928497,False,True
lg,3,2,0.1,84,0.25865438302624233,0.242001473903656,True,True
lg,3,3,0.01,34,0.25725851479620326,0.2422519028186798,False,True
lg,3,3,0.03,27,0.25879396984924624,0.24252019822597504,False,True
lg,3,3,0.1,55,0.2601898380792853,0.24332372844219208,True,True
lg,3,4,0.01,67,0.25697934115019544,0.2419436275959015,False,True
lg,3,4,0.03,5,0.25893355667225015,0.24153241515159607,False,True
lg,3,4,0.1,51,0.25949190396426575,0.2433677613735199,True,True
lg,3,5,0.01,51,0.25753768844221103,0.24208012223243713,False,True
lg,3,5,0.03,13,0.25879396984924624,0.24076969921588898,False,True
lg,3,5,0.1,67,0.259212730318258,0.24121759831905365,True,True
alg_warmup20,3,1,0.01,63,0.2004466778336125,0.2753940522670746,False,True
alg_warmup20,3,1,0.03,57,0.20421552205471805,0.2761291265487671,False,True
alg_warmup20,3,1,0.1,37,0.20491345616973758,0.2796609401702881,True,True
alg_warmup20,3,2,0.01,31,0.20351758793969849,0.2753969430923462,False,True
alg_warmup20,3,2,0.03,50,0.20351758793969849,0.274429053068161,False,True
alg_warmup20,3,2,0.1,48,0.20477386934673367,0.2733932435512543,True,True
alg_warmup20,3,3,0.01,15,0.20058626465661641,0.2784600257873535,False,True
alg_warmup20,3,3,0.03,25,0.20421552205471805,0.2751352787017822,False,True
alg_warmup20,3,3,0.1,27,0.20938023450586266,0.27848225831985474,True,True
alg_warmup20,3,4,0.01,48,0.2000279173646008,0.27522075176239014,False,True
alg_warmup20,3,4,0.03,37,0.20407593523171413,0.2733304500579834,False,True
alg_warmup20,3,4,0.1,59,0.20491345616973758,0.27410435676574707,True,True
alg_warmup20,3,5,0.01,11,0.20351758793969849,0.27626192569732666,False,True
alg_warmup20,3,5,0.03,14,0.20477386934673367,0.2736392021179199,False,True
alg_warmup20,3,5,0.1,58,0.2051926298157454,0.27453455328941345,True,True
ibkd_lambda_0.25,3,1,0.01,46,0.1786711334450028,0.31168198585510254,False,True
ibkd_lambda_0.25,3,1,0.03,37,0.18299832495812396,0.31157368421554565,True,True
