variant,encoder_seed,student_block,teacher_feature,images,spatial_observations,centered_linear_cka,scientific_result
lg,2,0,resnet50_layer3,600,117600,0.2251346978067356,True
lg,2,1,resnet50_layer3,600,117600,0.2442952244908184,True
lg,2,2,resnet50_layer3,600,117600,0.29456979423055246,True
lg,2,3,resnet50_layer3,600,117600,0.323569388885962,True
lg,2,4,resnet50_layer3,600,117600,0.3227602590180436,True
lg,2,5,resnet50_layer3,600,117600,0.4006728215692972,True
lg,2,6,resnet50_layer3,600,117600,0.4613581691072793,True
lg,2,7,resnet50_layer3,600,117600,0.4513356403321758,True
lg,2,8,resnet50_layer3,600,117600,0.44453263153864236,True
lg,2,9,resnet50_layer3,600,117600,0.44056931028171775,True
lg,2,10,resnet50_layer3,600,117600,0.4363354672906705,True
lg,2,11,resnet50_layer3,600,117600,0.4335542944734917,True
alg_warmup20,2,0,resnet50_layer3,600,117600,0.21182888934996222,True
alg_warmup20,2,1,resnet50_layer3,600,117600,0.22977581171725925,True
alg_warmup20,2,2,resnet50_layer3,600,117600,0.3008757783407477,True
alg_warmup20,2,3,resnet50_layer3,600,117600,0.3292664754742668,True
alg_warmup20,2,4,resnet50_layer3,600,117600,0.34151958047357317,True
alg_warmup20,2,5,resnet50_layer3,600,117600,0.3701241369990094,True
alg_warmup20,2,6,resnet50_layer3,600,117600,0.391911187240382,True
alg_warmup20,2,7,resnet50_layer3,600,117600,0.38262471814917787,True
alg_warmup20,2,8,resnet50_layer3,600,117600,0.36905779491217217,True
alg_warmup20,2,9,resnet50_layer3,600,117600,0.36124244311505355,True
alg_warmup20,2,10,resnet50_layer3,600,117600,0.3567559913072929,True
alg_warmup20,2,11,resnet50_layer3,600,117600,0.34772504795445075,True
ibkd_lambda_0.25,2,0,resnet50_layer3,600,117600,0.1451716507626309,True
ibkd_lambda_0.25,2,1,resnet50_layer3,600,117600,0.1939349755367323,True
ibkd_lambda_0.25,2,2,resnet50_layer3,600,117600,0.20760870163725895,True
ibkd_lambda_0.25,2,3,resnet50_layer3,600,117600,0.21177264278719077,True
ibkd_lambda_0.25,2,4,resnet50_layer3,600,117600,0.22600261737918545,True
ibkd_lambda_0.25,2,5,resnet50_layer3,600,117600,0.2463748006157563,True
ibkd_lambda_0.25,2,6,resnet50_layer3,600,117600,0.26746838239106985,True
