variant,encoder_seed,probe_seeds,test_pck_at_0.1_probe_seed_mean,test_pck_at_0.1_probe_seed_sample_sd,test_normalized_error_probe_seed_mean
lg,1,5,0.28174445690622035,0.0011369576151280749,0.23264952301979064
lg,2,5,0.2912489575245162,0.0016763809690910068,0.22796482145786284
lg,3,5,0.25231070083110463,0.00034515523976991934,0.2460765242576599
alg_warmup20,1,5,0.19945359905673943,0.0005893098564284654,0.2889623463153839
alg_warmup20,2,5,0.24755413683029937,0.0007013784954197525,0.251162189245224
alg_warmup20,3,5,0.20163345124090531,0.0009451590568162499,0.2774059116840363
ibkd_lambda_0.25,1,5,0.2239323613148132,0.0006758575817590011,0.2747985482215881
ibkd_lambda_0.25,2,5,0.1939924654185719,0.0015535146961628465,0.299433833360672
ibkd_lambda_0.25,3,5,0.18535645472061657,0.0010965510158595724,0.30958614945411683
ibkd_lambda_0.5,1,5,0.14394213901590316,0.0007407334188264461,0.37421618700027465
ibkd_lambda_0.5,2,5,0.1757110401748483,0.0010150678556020377,0.3054385483264923
ibkd_lambda_0.5,3,5,0.14313404077876513,0.0014371277382033195,0.3424540877342224
