metric,variant,independent_encoder_n,mean,sample_standard_deviation
part_pck_at_0.1,lg,3,0.27510137175394705,0.0203013520198968
part_pck_at_0.1,alg_warmup20,3,0.21621372904264805,0.027163464600606643
part_pck_at_0.1,ibkd_lambda_0.25,3,0.20109376048466723,0.020244664386026706
part_pck_at_0.1,ibkd_lambda_0.5,3,0.15426240665650554,0.018579455469505797
part_normalized_error,lg,3,0.23556362291177113,0.009400926986865434
part_normalized_error,alg_warmup20,3,0.2725101490815481,0.019369804780305148
part_normalized_error,ibkd_lambda_0.25,3,0.29460617701212566,0.017889214606659043
part_normalized_error,ibkd_lambda_0.5,3,0.3407029410203298,0.034422242540187914
spatial_cka_block11,lg,3,0.42847969156490634,0.016645188868458498
spatial_cka_block11,alg_warmup20,3,0.37681513094465285,0.027481650997690486
spatial_cka_block11,ibkd_lambda_0.25,3,0.31844250324548495,0.015187301881235809
spatial_cka_block11,ibkd_lambda_0.5,3,0.23505895946955757,0.031111651786354336
attention_patch_ap,lg,3,0.2268628345370409,0.06780000557175368
attention_patch_ap,alg_warmup20,3,0.24574183567679073,0.01732025141592149
attention_patch_ap,ibkd_lambda_0.25,3,0.281550329394847,0.05458999169039842
attention_patch_ap,ibkd_lambda_0.5,3,0.24083951316820373,0.024496911107212527
attention_pointing,lg,3,0.4428144196669261,0.13132729372410382
attention_pointing,alg_warmup20,3,0.4818778137365977,0.036073045866340143
attention_pointing,ibkd_lambda_0.25,3,0.5195029278596243,0.03560426012202685
attention_pointing,ibkd_lambda_0.5,3,0.4956276516119639,0.016511522527046747
attention_foreground_mass,lg,3,0.1894834985335668,0.03817960806297053
attention_foreground_mass,alg_warmup20,3,0.18984903891881308,0.009301545790936646
attention_foreground_mass,ibkd_lambda_0.25,3,0.2092626541852951,0.00830489683734738
attention_foreground_mass,ibkd_lambda_0.5,3,0.20589934289455414,0.013068172618588161
