variant,encoder_seed,probe_seed,learning_rate,best_epoch,validation_micro_pck_at_0.1,validation_mean_normalized_error,selected,scientific_result
lg,1,1,0.01,31,0.28182579564489113,0.23489131033420563,False,True
lg,1,1,0.03,39,0.28280290340591846,0.2335430532693863,True,True
lg,1,1,0.1,62,0.2815466219988833,0.23380506038665771,False,True
lg,1,2,0.01,23,0.28224455611390287,0.23430027067661285,False,True
lg,1,2,0.03,28,0.2847571189279732,0.2335042804479599,True,True
lg,1,2,0.1,48,0.28405918481295367,0.23557022213935852,False,True
lg,1,3,0.01,8,0.2830820770519263,0.23362913727760315,False,True
lg,1,3,0.03,40,0.2832216638749302,0.23226943612098694,False,True
lg,1,3,0.1,71,0.283500837520938,0.2330978810787201,True,True
lg,1,4,0.01,35,0.28196538246789504,0.2339221090078354,False,True
lg,1,4,0.03,23,0.2832216638749302,0.23589222133159637,True,True
lg,1,4,0.1,22,0.2830820770519263,0.2347295880317688,False,True
lg,1,5,0.01,11,0.28196538246789504,0.2349507212638855,False,True
lg,1,5,0.03,28,0.283500837520938,0.23378632962703705,True,True
lg,1,5,0.1,78,0.2815466219988833,0.23323431611061096,False,True
alg_warmup20,1,1,0.01,23,0.20589056393076494,0.2909495234489441,False,True
alg_warmup20,1,1,0.03,22,0.20770519262981574,0.2889779210090637,True,True
alg_warmup20,1,1,0.1,37,0.2051926298157454,0.2945972979068756,False,True
alg_warmup20,1,2,0.01,31,0.20672808486878838,0.2894548177719116,False,True
alg_warmup20,1,2,0.03,9,0.20589056393076494,0.290968120098114,False,True
alg_warmup20,1,2,0.1,31,0.2086823003908431,0.29232773184776306,True,True
alg_warmup20,1,3,0.01,46,0.20351758793969849,0.2891564667224884,False,True
alg_warmup20,1,3,0.03,50,0.2056113902847571,0.28901174664497375,True,True
alg_warmup20,1,3,0.1,27,0.2051926298157454,0.2900134325027466,False,True
alg_warmup20,1,4,0.01,50,0.2036571747627024,0.29119643568992615,False,True
alg_warmup20,1,4,0.03,15,0.2050530429927415,0.2900175154209137,True,True
alg_warmup20,1,4,0.1,41,0.20449469570072584,0.2879055142402649,False,True
alg_warmup20,1,5,0.01,40,0.20421552205471805,0.290017306804657,False,True
alg_warmup20,1,5,0.03,43,0.2056113902847571,0.29058435559272766,True,True
alg_warmup20,1,5,0.1,49,0.20477386934673367,0.29188692569732666,False,True
ibkd_lambda_0.25,1,1,0.01,31,0.22389726409826913,0.2750135064125061,False,True
ibkd_lambda_0.25,1,1,0.03,21,0.2250139586823004,0.2727251350879669,False,True
ibkd_lambda_0.25,1,1,0.1,40,0.22627024008933558,0.2722097635269165,True,True
ibkd_lambda_0.25,1,2,0.01,28,0.22473478503629257,0.27626028656959534,False,True
ibkd_lambda_0.25,1,2,0.03,31,0.2266890005583473,0.2736569941043854,True,True
ibkd_lambda_0.25,1,2,0.1,68,0.22627024008933558,0.27226999402046204,False,True
ibkd_lambda_0.25,1,3,0.01,30,0.2236180904522613,0.27437373995780945,False,True
ibkd_lambda_0.25,1,3,0.03,27,0.22710776102735902,0.2728998363018036,True,True
ibkd_lambda_0.25,1,3,0.1,75,0.22640982691233946,0.2722301185131073,False,True
ibkd_lambda_0.25,1,4,0.01,51,0.22459519821328866,0.2744670510292053,False,True
ibkd_lambda_0.25,1,4,0.03,20,0.2251535455053043,0.2724788188934326,False,True
ibkd_lambda_0.25,1,4,0.1,61,0.22724734785036294,0.27082303166389465,True,True
ibkd_lambda_0.25,1,5,0.01,23,0.22403685092127304,0.2742386758327484,False,True
ibkd_lambda_0.25,1,5,0.03,42,0.22613065326633167,0.2722782492637634,True,True
ibkd_lambda_0.25,1,5,0.1,62,0.22613065326633167,0.2735942006111145,False,True
ibkd_lambda_0.5,1,1,0.01,57,0.13721384701284198,0.3779226541519165,False,True
ibkd_lambda_0.5,1,1,0.03,29,0.13860971524288107,0.37812861800193787,True,True
ibkd_lambda_0.5,1,1,0.1,1,0.04327191513121161,0.6258969306945801,False,True
ibkd_lambda_0.5,1,2,0.01,85,0.1376326074818537,0.3775523900985718,False,True
ibkd_lambda_0.5,1,2,0.03,24,0.1388888888888889,0.3750341832637787,True,True
ibkd_lambda_0.5,1,2,0.1,1,0.047459519821328865,0.6269270181655884,False,True
ibkd_lambda_0.5,1,3,0.01,55,0.13986599664991625,0.37716174125671387,False,True
ibkd_lambda_0.5,1,3,0.03,20,0.14042434394193187,0.3741501569747925,True,True
ibkd_lambda_0.5,1,3,0.1,1,0.05737018425460637,0.6176581978797913,False,True
ibkd_lambda_0.5,1,4,0.01,45,0.13805136795086545,0.37771323323249817,False,True
ibkd_lambda_0.5,1,4,0.03,44,0.13860971524288107,0.37493133544921875,True,True
ibkd_lambda_0.5,1,4,0.1,1,0.05108877721943048,0.6388561725616455,False,True
ibkd_lambda_0.5,1,5,0.01,30,0.13860971524288107,0.38245725631713867,False,True
ibkd_lambda_0.5,1,5,0.03,16,0.1390284757118928,0.38029083609580994,True,True
ibkd_lambda_0.5,1,5,0.1,1,0.04257398101619207,0.6442975401878357,False,True
