variant,student_block,teacher_feature,images,spatial_observations,centered_linear_cka,scientific_result,encoder_seed
lg,0,resnet50_layer3,600,117600,0.2045380053731954,True,1
lg,1,resnet50_layer3,600,117600,0.22862056376137976,True,1
lg,2,resnet50_layer3,600,117600,0.27791880733030927,True,1
lg,3,resnet50_layer3,600,117600,0.3174246540930035,True,1
lg,4,resnet50_layer3,600,117600,0.3480201980908335,True,1
lg,5,resnet50_layer3,600,117600,0.4224597072579475,True,1
lg,6,resnet50_layer3,600,117600,0.4708711287597871,True,1
lg,7,resnet50_layer3,600,117600,0.46089687256682005,True,1
lg,8,resnet50_layer3,600,117600,0.45404836420590355,True,1
lg,9,resnet50_layer3,600,117600,0.4496817412943914,True,1
lg,10,resnet50_layer3,600,117600,0.4469174181287868,True,1
lg,11,resnet50_layer3,600,117600,0.44199694137985773,True,1
alg_warmup20,0,resnet50_layer3,600,117600,0.10435971203729019,True,1
alg_warmup20,1,resnet50_layer3,600,117600,0.13176100926484594,True,1
alg_warmup20,2,resnet50_layer3,600,117600,0.20096797163330984,True,1
alg_warmup20,3,resnet50_layer3,600,117600,0.28571924974277263,True,1
alg_warmup20,4,resnet50_layer3,600,117600,0.3438821389359297,True,1
alg_warmup20,5,resnet50_layer3,600,117600,0.3888490714971145,True,1
alg_warmup20,6,resnet50_layer3,600,117600,0.4262562248650264,True,1
alg_warmup20,7,resnet50_layer3,600,117600,0.4212497267976546,True,1
alg_warmup20,8,resnet50_layer3,600,117600,0.416831972463604,True,1
alg_warmup20,9,resnet50_layer3,600,117600,0.4088319190866836,True,1
alg_warmup20,10,resnet50_layer3,600,117600,0.4065106433989191,True,1
alg_warmup20,11,resnet50_layer3,600,117600,0.4023404477221058,True,1
ibkd_lambda_0.25,0,resnet50_layer3,600,117600,0.20900234790171848,True,1
ibkd_lambda_0.25,1,resnet50_layer3,600,117600,0.23536648821527362,True,1
ibkd_lambda_0.25,2,resnet50_layer3,600,117600,0.26185781611341225,True,1
ibkd_lambda_0.25,3,resnet50_layer3,600,117600,0.2805787156642351,True,1
ibkd_lambda_0.25,4,resnet50_layer3,600,117600,0.2993324193612656,True,1
ibkd_lambda_0.25,5,resnet50_layer3,600,117600,0.3147804497968259,True,1
ibkd_lambda_0.25,6,resnet50_layer3,600,117600,0.33788279321590087,True,1
ibkd_lambda_0.25,7,resnet50_layer3,600,117600,0.3539333192286001,True,1
ibkd_lambda_0.25,8,resnet50_layer3,600,117600,0.35633845277317633,True,1
ibkd_lambda_0.25,9,resnet50_layer3,600,117600,0.352141886908087,True,1
ibkd_lambda_0.25,10,resnet50_layer3,600,117600,0.3451356149099015,True,1
ibkd_lambda_0.25,11,resnet50_layer3,600,117600,0.33409563861252933,True,1
ibkd_lambda_0.5,0,resnet50_layer3,600,117600,0.15690818408061788,True,1
ibkd_lambda_0.5,1,resnet50_layer3,600,117600,0.1679243783202675,True,1
ibkd_lambda_0.5,2,resnet50_layer3,600,117600,0.19989441611904923,True,1
ibkd_lambda_0.5,3,resnet50_layer3,600,117600,0.23091197869847152,True,1
ibkd_lambda_0.5,4,resnet50_layer3,600,117600,0.24890373438757496,True,1
ibkd_lambda_0.5,5,resnet50_layer3,600,117600,0.2685180184510616,True,1
ibkd_lambda_0.5,6,resnet50_layer3,600,117600,0.281888735969084,True,1
ibkd_lambda_0.5,7,resnet50_layer3,600,117600,0.28945268960737375,True,1
ibkd_lambda_0.5,8,resnet50_layer3,600,117600,0.30141318106624954,True,1
ibkd_lambda_0.5,9,resnet50_layer3,600,117600,0.2958387817945098,True,1
ibkd_lambda_0.5,10,resnet50_layer3,600,117600,0.2888932189175004,True,1
ibkd_lambda_0.5,11,resnet50_layer3,600,117600,0.2656008506457484,True,1
