batch_size,batch_profile_role,confirmatory_main_result,variant,method,fusion_ratio_lambda,controller_warmup_epochs,encoder_seed,probe_seed,selected_learning_rate,selected_epoch,validation_grid_mean_iou,validation_input_224_mean_iou,test_grid_mean_iou,test_input_224_mean_iou,test_input_224_foreground_iou,test_input_224_background_iou,test_input_224_foreground_dice,test_input_224_pixel_accuracy,encoder_checkpoint_path,encoder_checkpoint_sha256,probe_checkpoint_path,probe_checkpoint_sha256,official_test_evaluations,scientific_result
64,batch64_sensitivity,False,lg,lg,,0,1,1,0.03,32,0.7452701749204965,0.7378766443598854,0.7487596219318122,0.7429936891893423,0.5797903370220536,0.9061970413566308,0.7340092206349024,0.9169463426605109,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/classification/students/cub_r50_224_lg_deit_tiny_b64_full_300ep_seed1/student_best_validation.pt,62169858cae75b021c93f57c1ac83552bceab5aa2fed6fbf6a014440b546e963,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/probe/checkpoints/lg/probe_seed1_best_validation.pt,09cd64dc8870d2e12f83f53e08dd9b5e69d4ab4566ff6614894551abea5b6ef4,1,True
64,batch64_sensitivity,False,lg,lg,,0,1,2,0.03,36,0.7448440309216946,0.7341477323732517,0.7474834017113173,0.7385039102729212,0.569369604971395,0.9076382155744475,0.725602946772724,0.9176898215760674,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/classification/students/cub_r50_224_lg_deit_tiny_b64_full_300ep_seed1/student_best_validation.pt,62169858cae75b021c93f57c1ac83552bceab5aa2fed6fbf6a014440b546e963,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/probe/checkpoints/lg/probe_seed2_best_validation.pt,d04f47dbe55ef93ef8ee1666237f8c70da71c804ddf27c42fc50cb8802c24aa6,1,True
64,batch64_sensitivity,False,lg,lg,,0,1,3,0.03,32,0.7449593451631746,0.7354856353319924,0.7480198535005862,0.7393617038216256,0.5712359441430193,0.9074874635002318,0.7271166959645666,0.9176387414540376,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/classification/students/cub_r50_224_lg_deit_tiny_b64_full_300ep_seed1/student_best_validation.pt,62169858cae75b021c93f57c1ac83552bceab5aa2fed6fbf6a014440b546e963,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/probe/checkpoints/lg/probe_seed3_best_validation.pt,c4338d4ccb5361f8bd4d57438752c87bb46b9d9aea5f7cc86422287e2fab39e7,1,True
64,batch64_sensitivity,False,lg,lg,,0,1,4,0.01,24,0.7451813331426589,0.7368824937448099,0.7482895059765798,0.7408511942374292,0.5743563317139591,0.9073460567608992,0.7296395614437208,0.9176428175445834,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/classification/students/cub_r50_224_lg_deit_tiny_b64_full_300ep_seed1/student_best_validation.pt,62169858cae75b021c93f57c1ac83552bceab5aa2fed6fbf6a014440b546e963,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/probe/checkpoints/lg/probe_seed4_best_validation.pt,ae988556b8236da59a3dc84d55074e5eff648fde9342341d2ace1d1fc4859c68,1,True
64,batch64_sensitivity,False,lg,lg,,0,1,5,0.03,51,0.7445762635585003,0.7340948315196387,0.7476610913402224,0.7386344353151156,0.569275917384325,0.9079929532459062,0.7255268637948593,0.91796826843656,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/classification/students/cub_r50_224_lg_deit_tiny_b64_full_300ep_seed1/student_best_validation.pt,62169858cae75b021c93f57c1ac83552bceab5aa2fed6fbf6a014440b546e963,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/probe/checkpoints/lg/probe_seed5_best_validation.pt,9c483dc6ca8723cfa6951dd114d199964eaa68765f09d144aa9e10d3211ed552,1,True
64,batch64_sensitivity,False,alg_warmup20,alg,,20,1,1,0.03,19,0.7226760185243752,0.7219689641536517,0.7233428201679735,0.7243841899616603,0.5495159197783273,0.8992524601449935,0.7092743130473169,0.9102787769378333,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/classification/students/cub_r50_224_alg_warmup20_deit_tiny_b64_full_300ep_seed1/student_best_validation.pt,495acc03d96958ef31b95105b22bd055cba3fd7e9b8643c771272027db9ecfb7,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/probe/checkpoints/alg_warmup20/probe_seed1_best_validation.pt,60fc6e355f6617a952499a01b7f3904a2a76cfd551647dcf3193df352a1e9041,1,True
64,batch64_sensitivity,False,alg_warmup20,alg,,20,1,2,0.03,61,0.7226611250108337,0.7191848364175135,0.7273449147980593,0.7251799198658779,0.5472219364890738,0.9031379032426821,0.7073606230413451,0.9132888580144044,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/classification/students/cub_r50_224_alg_warmup20_deit_tiny_b64_full_300ep_seed1/student_best_validation.pt,495acc03d96958ef31b95105b22bd055cba3fd7e9b8643c771272027db9ecfb7,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/probe/checkpoints/alg_warmup20/probe_seed2_best_validation.pt,a246e64dc271baefff844dd67a4d25d5022541af2f3327ac6324b822ea8e2950,1,True
64,batch64_sensitivity,False,alg_warmup20,alg,,20,1,3,0.1,65,0.7219669796903314,0.7182420417613051,0.7238378384515024,0.7210087234583662,0.5417056299381036,0.9003118169786288,0.7027354890827661,0.9108200508046678,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/classification/students/cub_r50_224_alg_warmup20_deit_tiny_b64_full_300ep_seed1/student_best_validation.pt,495acc03d96958ef31b95105b22bd055cba3fd7e9b8643c771272027db9ecfb7,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/probe/checkpoints/alg_warmup20/probe_seed3_best_validation.pt,3023c907c8fce49ff2f30ff7405d68975202e31125f316324b803e40efc71578,1,True
64,batch64_sensitivity,False,alg_warmup20,alg,,20,1,4,0.1,84,0.7218759904134642,0.7176320247470469,0.7262848231634644,0.7225968127584002,0.5419369901437957,0.9032566353730046,0.7029301373634684,0.9131924249355421,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/classification/students/cub_r50_224_alg_warmup20_deit_tiny_b64_full_300ep_seed1/student_best_validation.pt,495acc03d96958ef31b95105b22bd055cba3fd7e9b8643c771272027db9ecfb7,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/probe/checkpoints/alg_warmup20/probe_seed4_best_validation.pt,3ee175645b66f4c2d06039ada26a12dde75735b5d81bebbd2108ab455de221c8,1,True
64,batch64_sensitivity,False,alg_warmup20,alg,,20,1,5,0.03,36,0.723861724439616,0.7242143030887462,0.7268870588061269,0.7269223389170489,0.5533990478175161,0.9004456300165816,0.7125008201788547,0.9113781415547751,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/classification/students/cub_r50_224_alg_warmup20_deit_tiny_b64_full_300ep_seed1/student_best_validation.pt,495acc03d96958ef31b95105b22bd055cba3fd7e9b8643c771272027db9ecfb7,/app/output/phase1_cub_r50_224_b128_b64_guided_probe_seed1_full_v4/batch64/probe/checkpoints/alg_warmup20/probe_seed5_best_validation.pt,435d48d64fa47daae33ccd7a9159046d3b75c41bc69c167def54764bade94079,1,True
