variant,encoder_seed,selected_epoch,validation_macro_top1,test_macro_top1,test_overall_top1,test_top5,checkpoint_sha256
lg,1,208,26.333335041999817,24.315351247787476,23.990334829133587,48.84363134276838,27029c5d1042e5b118a679cc6465d5b9763c1c83e9fb7e352cbd336a05582414
lg,2,214,25.833332538604736,24.98922199010849,24.697963410424578,49.77562996202968,c3cd2401cd2f2e41ed096593d06b43a15340fb1105bd44a543ec71790e62b605
lg,3,176,24.833333492279053,22.45151698589325,22.17811529168105,46.18570935450466,9c1ecc76ccbc5cc0b3cad6e7bcb0289a189628e38687ae272be677074ee36da8
alg_warmup20,1,108,23.000001907348633,21.382255852222443,21.211598205039696,47.3593372454263,6ba968d3e4bfe9a5da6807b3fc4cdbccc41c5f45b12b5f613b61ebce2b50abc9
alg_warmup20,2,245,27.166667580604553,23.803286254405975,23.541594753192957,48.10148429409734,dd58c8818d9479094babfe22f43c59981024975a97b770074d2126fb320d1d66
alg_warmup20,3,157,23.666667938232422,21.466927230358124,21.332412840869864,45.44356230583362,445d8b7c301b1a586702582364d9047f447ec99d610b6d97aef43ccac98c41c6
ibkd_lambda_0.25,1,239,27.666667103767395,27.03605890274048,26.855367621677598,52.67518122195374,fb8c141be32e101f8ad91689ea809d8ecc8d9701ef7b843efdcd88c3b3ac7bd8
ibkd_lambda_0.25,2,266,25.666669011116028,22.533656656742096,22.41974456334139,48.25681739730756,1c1bf6f6141f1efc0e21fe48e60be9e6a1ef3a126c60d81b6903d462fdc86410
ibkd_lambda_0.25,3,254,24.166664481163025,23.71707707643509,23.62789092164308,48.826372109078356,87f73dfbc0cb9b8dc6475c61ecbd9dcf270269a3f746105aa6d2de3aa8fd2980
ibkd_lambda_0.5,1,58,12.000001221895218,11.612388491630554,11.511908871246117,31.08387987573352,d9dd2e97e39783cb813467c2f263aa7b41bf4b5c8f6bf866dfa8e7afa60f4979
ibkd_lambda_0.5,2,273,22.999997437000275,21.530695259571075,21.453227476700036,46.65170866413531,bf3eade3a6ee2fca0b9d0e1335a2ab89468a0abb97f04620670a8b3a6c03cf09
ibkd_lambda_0.5,3,297,19.66666728258133,18.09936910867691,18.087676907145323,41.681049361408355,fea3f7a6512e0670db906877a4b764f2e7ab8cd86964b3a45b9b1c66663bd043
