variant,encoder_seed,probe_seeds_per_encoder,test_input_224_mean_iou_probe_seed_mean,test_input_224_mean_iou_probe_seed_sample_sd
lg,1,5,0.736954398657864,0.0014729530118822013
lg,2,5,0.7400163986159445,0.0009181699286796742
lg,3,5,0.7271310999249999,0.0015048868521025235
alg_warmup20,1,5,0.702993463258754,0.0025210655552261197
alg_warmup20,2,5,0.722828483840559,0.002589246063731595
alg_warmup20,3,5,0.7028338775056918,0.0010872930199623428
ibkd_lambda_0.25,1,5,0.7197203787525142,0.0025818067536024555
ibkd_lambda_0.25,2,5,0.6990652443084049,0.0024993911982606563
ibkd_lambda_0.25,3,5,0.6907666964943625,0.0025687810249562337
ibkd_lambda_0.5,1,5,0.6399286440919942,0.0025475942790823074
ibkd_lambda_0.5,2,5,0.6926615010737329,0.0019330205872672335
ibkd_lambda_0.5,3,5,0.6486554755687207,0.0031690892702358827
