variant,method,fusion_ratio_lambda,encoder_seed,probe_seed,selected_learning_rate,selected_epoch,validation_grid_mean_iou,validation_input_224_mean_iou,test_grid_mean_iou,test_input_224_mean_iou,test_input_224_foreground_iou,test_input_224_background_iou,test_input_224_foreground_dice,test_input_224_pixel_accuracy,official_test_evaluations,scientific_result
alg_controller_warmup20,alg,,1,1,0.03,62,0.748071503544466,0.8025210373259137,0.756834056167976,0.8127813383053368,0.7594214260309011,0.8661412505797725,0.8632626780544427,0.9059019030992345,1,True
alg_controller_warmup20,alg,,1,2,0.03,73,0.748086304558222,0.8027105765801499,0.7563801630614642,0.8124196356689589,0.7576308489613739,0.8672084223765439,0.8621046329598461,0.9061608737497332,1,True
alg_controller_warmup20,alg,,1,3,0.1,76,0.7482404682781165,0.8020766035958193,0.7554708593394706,0.8111716625652277,0.7550442408483183,0.8672990842821371,0.8604275872651052,0.9058213061017792,1,True
alg_controller_warmup20,alg,,1,4,0.03,61,0.7482074263764404,0.8025950039540658,0.755725740126767,0.8113703916013546,0.7583827038332454,0.864358079369464,0.8625911778817928,0.9048627381544817,1,True
alg_controller_warmup20,alg,,1,5,0.03,73,0.7477300725437854,0.8024411760418204,0.7568419782003066,0.8123922543771933,0.7590399029067602,0.8657446058476265,0.8630161278916638,0.9056475153423977,1,True
alg_controller_warmup20,alg,,2,1,0.03,30,0.7474273085953482,0.8004413876465062,0.7543914280383277,0.8093180714562042,0.753951392490273,0.8646847504221353,0.8597175448742708,0.9043463822869674,1,True
alg_controller_warmup20,alg,,2,2,0.1,63,0.7473159381509191,0.8004938348189978,0.7535061177574824,0.808475526052436,0.7529686013320647,0.8639824507728073,0.8590782524682882,0.9038467168227219,1,True
alg_controller_warmup20,alg,,2,3,0.03,7,0.7472025193126985,0.7992924485086748,0.7547914037279952,0.8096587354757483,0.7545023239318424,0.8648151470196542,0.8600756050764315,0.9044948246899185,1,True
alg_controller_warmup20,alg,,2,4,0.03,66,0.747225855115519,0.7998136777209417,0.7550487552575066,0.8098938809443943,0.7541718610250413,0.8656159008637474,0.8598608583133296,0.9048456328135434,1,True
alg_controller_warmup20,alg,,2,5,0.03,57,0.7472697504138124,0.8000213808112472,0.75504405933818,0.8102060042825505,0.7544939056469561,0.8659181029181451,0.8600701355742153,0.90504538504621,1,True
alg_controller_warmup20,alg,,3,1,0.01,22,0.7478152697175147,0.7995257947626462,0.7525033504083152,0.8068306565756259,0.7516750698340063,0.8619862433172455,0.8582357342166629,0.9026540063609945,1,True
alg_controller_warmup20,alg,,3,2,0.01,28,0.7482888267660543,0.79990454625866,0.7532093710541536,0.8073173467959848,0.7521791245238032,0.8624555690681663,0.8585641890103285,0.9029649123442625,1,True
alg_controller_warmup20,alg,,3,3,0.03,68,0.7479875546443946,0.7997887170588533,0.752759054135874,0.8072860099244203,0.75229666126505,0.8622753585837908,0.8586407517571121,0.9028933139204435,1,True
alg_controller_warmup20,alg,,3,4,0.1,83,0.7480396952822836,0.8001965653254548,0.7527316302250051,0.8068771643639044,0.7527360126950192,0.8610183160327897,0.8589268517825535,0.9023385360633631,1,True
alg_controller_warmup20,alg,,3,5,0.03,8,0.7480291067675459,0.7994109294093545,0.7519498843341575,0.8060651310078821,0.7508107039811179,0.8613195580346464,0.8576720513232768,0.9021893504884668,1,True
