index,kind,method,fusion_ratio_lambda,batch_size,seed,selected_epoch,validation_macro_top1,test_macro_top1,test_overall_top1,test_top5,training_seconds,attempt_elapsed_seconds,checkpoint_sha256,initial_student_state_sha256,teacher_model_state_sha256,validation_image_ids_sha256,official_test_evaluations,official_test_used_for_training_or_selection,strict_checkpoint_reload,status,failure
0,teacher,teacher,,128,1,275,53.513509035110474,46.181535720825195,46.22512946306895,79.83101662578359,1345.7849774248898,1349.6448230706155,66de3ae6d49be7e882a49bd6de0e9e5a815609b295ecf0d5c290713779f02950,,dc4818a64274124bfdc1e77c31ecbb3b9e2fb2d5bae382e159827e07617e1eaa,08adc64ce5df69a3d2135fce49d1988d882e01947f158cb1c0dff30da1fe6e12,1,False,True,complete,
1,student,vanilla,,128,1,208,31.081080436706543,20.995761454105377,20.986644862360315,50.55873535023167,1368.289176106453,1372.2455929275602,8e180a0fc04ec6e2809a58a6115cba9418a74b53acc7eccf067bf4c614281206,9934a9687a4182f9150acb4946c2c2f3b97b0447e3df409edff933a6a3702859,,08adc64ce5df69a3d2135fce49d1988d882e01947f158cb1c0dff30da1fe6e12,1,False,True,complete,
2,student,vanilla,,128,2,206,32.43243396282196,20.52971124649048,20.550558735350233,50.94031071136549,1380.1797839300707,1383.9362865425646,f9a4a7a47130d9da5c4b633c5883adff26c290ae315ed7c6de9debedc040b956,993d9dabff8b881e568bc47fb065ae3bda0589fbb25e7268f30f2825098a17c5,,08adc64ce5df69a3d2135fce49d1988d882e01947f158cb1c0dff30da1fe6e12,1,False,True,complete,
3,student,vanilla,,128,3,233,32.83783793449402,21.8288391828537,21.831561733442356,52.19405832651949,1376.9447486139834,1380.76500428468,51aae87e0682d811a8bb3b0fb6c6e9c33ebc31c14e09c6d24489b09ccadcb0b2,4be2a910bc6de5ea99f2b51f8a9347a02b08e0958958dd0832b992eef71aaa38,,08adc64ce5df69a3d2135fce49d1988d882e01947f158cb1c0dff30da1fe6e12,1,False,True,complete,
4,student,kd,,128,1,222,39.054057002067566,28.823810815811157,28.808939765603707,63.450531479967296,1437.0408718520775,1440.9941473472863,c4eea7b489490a93b6d7633e7623e53e1d31babc93fa9894b7c31b60f0b5d95b,9934a9687a4182f9150acb4946c2c2f3b97b0447e3df409edff933a6a3702859,dc4818a64274124bfdc1e77c31ecbb3b9e2fb2d5bae382e159827e07617e1eaa,08adc64ce5df69a3d2135fce49d1988d882e01947f158cb1c0dff30da1fe6e12,1,False,True,complete,
5,student,kd,,128,2,269,37.837839126586914,30.70541024208069,30.689561188334697,65.60370673207959,1401.9905259264633,1405.3991283252835,a8fdc66de0da65dd2a7288062c16d9a53287430d58fe62f001af0932ef51298e,993d9dabff8b881e568bc47fb065ae3bda0589fbb25e7268f30f2825098a17c5,dc4818a64274124bfdc1e77c31ecbb3b9e2fb2d5bae382e159827e07617e1eaa,08adc64ce5df69a3d2135fce49d1988d882e01947f158cb1c0dff30da1fe6e12,1,False,True,complete,
6,student,kd,,128,3,251,39.59459364414215,30.704551935195923,30.689561188334697,65.1676206050695,1385.5333412243053,1388.7406478570774,5a0b494a6a931fad14aa1ceb98e1acb0e57ecf37d32085e042f5e24711f32abc,4be2a910bc6de5ea99f2b51f8a9347a02b08e0958958dd0832b992eef71aaa38,dc4818a64274124bfdc1e77c31ecbb3b9e2fb2d5bae382e159827e07617e1eaa,08adc64ce5df69a3d2135fce49d1988d882e01947f158cb1c0dff30da1fe6e12,1,False,True,complete,
7,student,lg,,128,1,284,41.62162244319916,34.55737233161926,34.5598255655492,70.01907876805669,1361.7743784040213,1365.667828806676,eee9e7ffe68e44e5de7a864d0d0f1fab692f8b5a0d3a94b9b8b14f4bb3a67e01,9934a9687a4182f9150acb4946c2c2f3b97b0447e3df409edff933a6a3702859,dc4818a64274124bfdc1e77c31ecbb3b9e2fb2d5bae382e159827e07617e1eaa,08adc64ce5df69a3d2135fce49d1988d882e01947f158cb1c0dff30da1fe6e12,1,False,True,complete,
8,student,lg,,128,2,271,41.48648381233215,33.215150237083435,33.19705641864268,68.79258653584083,1405.2355628535151,1408.692366939038,cab42c599a8e8f227cb2762b23c7a9d66a5764026020970095becaa9aea76056,993d9dabff8b881e568bc47fb065ae3bda0589fbb25e7268f30f2825098a17c5,dc4818a64274124bfdc1e77c31ecbb3b9e2fb2d5bae382e159827e07617e1eaa,08adc64ce5df69a3d2135fce49d1988d882e01947f158cb1c0dff30da1fe6e12,1,False,True,complete,
9,student,lg,,128,3,238,39.86486494541168,31.207358837127686,31.2346688470973,66.25783592259471,1409.2328827232122,1412.7210773043334,3e7b365a5ce6e3df1c1355f443990a1e02aa3f86717314073aafd1ceb149b099,4be2a910bc6de5ea99f2b51f8a9347a02b08e0958958dd0832b992eef71aaa38,dc4818a64274124bfdc1e77c31ecbb3b9e2fb2d5bae382e159827e07617e1eaa,08adc64ce5df69a3d2135fce49d1988d882e01947f158cb1c0dff30da1fe6e12,1,False,True,complete,
