variant,method,fusion_ratio_lambda,batch_size,seed,selected_epoch,validation_macro_top1,test_macro_top1,test_overall_top1,test_top5,checkpoint_sha256
vanilla,vanilla,,64,1,235,31.351348757743835,20.239000022411346,20.19623875715454,50.99482147724176,79aee8035131c285072fd0938c296e72bdcd6639a6f607c5aab21494f2bde16a
vanilla,vanilla,,64,2,233,32.297295331954956,20.55027484893799,20.550558735350233,52.602889070591445,9473f6af641237825e21be4605b08c396689bafc0cb627cb22c0542dff19eaed
vanilla,vanilla,,64,3,270,29.86486256122589,20.66834717988968,20.659580267102754,51.730716816571274,58e422a9fa5acc31f351785ec7c54eed8873303cee1206a84a2d5f4c34703a74
kd,kd,,64,1,257,37.162160873413086,29.52778935432434,29.517579721995094,62.878168438266556,e52169a6fb97fdd77b26b58390cc5cce90f6ff763669fdab446d167c673ddb62
kd,kd,,64,2,289,36.75675690174103,30.70996403694153,30.689561188334697,65.41291905151267,410a80f3b92885e26171d89474040c9fa39866ffa4fa535777c723586ee83fe7
kd,kd,,64,3,293,37.97297477722168,31.53681755065918,31.534478059416735,65.44017443445081,c284b6110d689bb803137e4811e52a894a00b1f4d26056288e1fc8401b74c9ab
lg,lg,,64,1,260,45.40540874004364,37.81784474849701,37.83047151812483,72.79912782774598,fb0fdc02d89ca282e23590bc2302428d40338f3dbb381b2542e6ae70eaf7dcbf
lg,lg,,64,2,231,48.10810685157776,39.06073868274689,39.05696375034069,74.51621695284818,145722995041d50a1be737e3ea371fd4648192e2b41ecca5fc2dcd12bcc22331
lg,lg,,64,3,270,46.08108401298523,37.738314270973206,37.748705369310436,73.2624693376942,6a8b2353efc5239b4b9545d34573ac38ea1a3c175e329530274b2b074cca17ba
alg,alg,,64,1,253,40.27026891708374,31.337401270866394,31.316434995911692,66.47587898609976,1b59b95b35f5fdcc4911e6968aa7637d8dd0adf94f5f7f7360a3d44cd009a27f
alg,alg,,64,2,264,45.270270109176636,33.90723764896393,33.9329517579722,69.71926955573726,e6e2e0e2c8fe25670f43c775129f5f17bffee352cab00d54d74d9fa326e40c5e
alg,alg,,64,3,291,44.45946216583252,31.585246324539185,31.588988825292997,67.5115835377487,9e2972adca447f0ecb225322a2379cd8beb987dad63854b942dff53dc0b5f4da
ibkd_lambda0.25,ibkd,0.25,64,1,289,37.29729652404785,29.093611240386963,29.10874897792314,66.4213682202235,d18b59c4d9f21bab2a180185d02b7513363ec5821d856c441a49fb3eef823959
ibkd_lambda0.25,ibkd,0.25,64,2,280,39.054057002067566,29.612499475479126,29.599345870809486,64.75878986099755,1182ea1fd05bdba34a058a36af2ada34bd782216d6818ef24b22491bb8834374
ibkd_lambda0.25,ibkd,0.25,64,3,261,39.459460973739624,29.714632034301758,29.708367402562008,64.73153447805942,adfff7bc29c115f61941766d685d98c352be45c44438bee1976c994261a6d8dd
ibkd_lambda0.5,ibkd,0.5,64,1,271,36.4864856004715,28.439682722091675,28.427364404469884,63.832106841101115,970e23d420595280170188d941b8a0191fbca910e7ba4959c1456b521f29f680
ibkd_lambda0.5,ibkd,0.5,64,2,292,36.89189553260803,28.307533264160156,28.318342872717363,64.59525756336876,a3a5f39b590f29bbc19c3780371a15105b158bea356e195c2696fed170cf7521
ibkd_lambda0.5,ibkd,0.5,64,3,291,40.94594419002533,31.83578848838806,31.83428727173617,67.94766966475879,f6faccbd069be9fceee122f64dc73d89c488137fbf9e0fa1614df2c71c037f40
