method,beta,source,run_id,status,completed_steps,expected_steps,pixel_accuracy,miou,guidance_stop_epoch,final_loss,final_ce,final_guidance,train_seconds,peak_cuda_allocated_bytes,runtime_error,selected_for_10000
lg,0.02,issue804_v13,lg_beta_0p02,stable,2000,2000,0.9183603352625532,0.5360788140098185,,0.36052101850509644,0.3406026065349579,0.9959205985069275,1880.117522138171,8123988480,,True
lg,0.05,issue804_v13,lg_beta_0p05,stable,2000,2000,0.9233097316536221,0.5840923427847753,,0.3490247130393982,0.3199828863143921,0.5808365345001221,1881.291105426848,8123988480,,True
lg,0.1,issue804_v13,lg_beta_0p1,stable,2000,2000,0.7858553362275774,0.20252850916909262,,0.6973216533660889,0.6639672517776489,0.3335438072681427,1879.9897686960176,8123988480,,False
lg,0.2,issue804_v13,lg_beta_0p2,stable,2000,2000,0.8875958290520356,0.428360493899087,,0.3851633667945862,0.33114513754844666,0.27009111642837524,1880.4497468611225,8123988480,,False
alg,0.02,issue804_v13,alg_beta_0p02,stable,2000,2000,0.9183603352625532,0.5360788140098185,,0.36052101850509644,0.3406026065349579,0.9959205985069275,1878.053605319932,8123988480,,True
alg,0.05,issue804_v13,alg_beta_0p05,stable,2000,2000,0.9233097316536221,0.5840923427847753,,0.3490247428417206,0.3199829161167145,0.5808365345001221,1879.171428019181,8123988480,,True
alg,0.1,issue804_v13,alg_beta_0p1,stable,2000,2000,0.768491686321932,0.19875949841009447,3,0.5488267540931702,0.5488267540931702,5.854379177093506,1879.806218335405,8123988480,,False
alg,0.2,issue804_v13,alg_beta_0p2,stable,2000,2000,0.8875958290520356,0.428360493899087,,0.3851633667945862,0.33114513754844666,0.27009111642837524,1878.1348893735558,8123988480,,False
ibkd,0.1,issue804_v13,ibkd_beta_0p1,unstable,108,2000,,,,12.133584976196289,2.0598297119140625,100.737548828125,201.93431136664003,11400923648,FloatingPointError('online_divergence:guidance:step=108:ratio=102.50290758217812'),False
ibkd,0.25,issue804_v13,ibkd_beta_0p25,stable,2000,2000,0.9140382566484981,0.5358197586215142,,0.3469623625278473,0.30748265981674194,0.1579188108444214,3713.6546373264864,11401873920,,True
ibkd,0.5,reused_v12_repro_a,ibkd_beta_0p5_a,stable,2000,2000,0.909563377407541,0.4398844488107541,,0.39362987875938416,0.33684131503105164,0.11357713490724564,5843.057258849032,11401873920,,True
ibkd,1.0,issue804_v13,ibkd_beta_1,stable,2000,2000,0.7767758562608437,0.21403728700176403,,0.6949083805084229,0.6183562278747559,0.07655216753482819,3708.025866220705,11401939456,,False
